lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_zh	full_cat_zh
efi	kk	nk	1079	1666.5	8645	Þetta er frábær dagur án	efa	.	Þetta er frábær dagur án	efa	.	ɛːvɪ	Nafnorð	m.	2K									efa	efa	efa															efi.mp3	doubt	怀疑	名词
úrgangur	kk	nk	1079	1666.5	95083	Einnig flokki Akureyringar lífrænan	úrgang	og búi til úr því áburð.	Einnig flokki Akureyringar lífrænan	úrgang	og búi til úr því áburð.	urkauŋkʏr	Nafnorð	m.	2K									úrgang	úrgangi	úrgangs															úrgangur.mp3	waste, waste matter	废料，废物	名词
félagsmaður	kk	nk	1076	1668	301085	Hver	félagsmaður	eignast hlutfall í því framlagi.	Hver	félagsmaður	eignast hlutfall í því framlagi.	fjɛːlaxsmaðʏr	Nafnorð	m.	2K									félagsmann	félagsmanni	félagsmanns	félagsmenn	félagsmenn	félagsmönnum	félagsmanna											félagsmaður.mp3	member (of a society)	（社会的）成员	名词
annar	rt	l	1075	1669	403833	Hún segir það ótrúlega tilfinningu að hafa lent í	öðru	sæti.	Hún segir það ótrúlega tilfinningu að hafa lent í	öðru	sæti.	anar	Löluor�rorð	num.	2K																aðrir -- aðrar -- önnur	annar  --  önnur -- annað									annar.mp3	second	第二	数量词
hræddur	lo	l	1071	1671	388648	Litlan mín er	hrædd	og vill komast heim.	Litlan mín er	hrædd	og vill komast heim.	r̥aitʏr	Lýsingarorð	adj.	2K																					hræddur  --  hrædd -- hrætt	hræddari -- hræddari -- hræddara	hræddastur -- hræddust -- hræddast			hræddur.mp3	scared	害怕的	形容词
líkamlegur	lo	l	1071	1671	391055	Enginn lenti í	líkamlegum	hrakningum í óveðrinu.	Enginn lenti í	líkamlegum	hrakningum í óveðrinu.	liːkamlɛɣʏr	Löluor�rorð	adj.	2K																					líkamlegur  --  líkamleg -- líkamlegt	líkamlegri -- líkamlegri -- líkamlegra	líkamlegastur -- líkamlegust -- líkamlegast			líkamlegur.mp3	physical	身体的	形容词
lögreglumaður	kk	nk	1071	1671	88385	Skoskir	lögreglumenn	tóku manninn höndum við komuna til Skotlands.	Skoskir	lögreglumenn	tóku manninn höndum við komuna til Skotlands.	lœɣrɛklʏmaðʏr	Nafnorð	m.	2K									lögreglumann	lögreglumanni	lögreglumanns	lögreglumenn	lögreglumenn	lögreglumönnum	lögreglumanna											lögreglumaður.mp3	policeman	警察	名词
illur	lo	l	1069	1673	412190	Ástandið er talið	verst	í Wales og í norður hluta Englands.	Ástandið er talið	verst	í Wales og í norður hluta Englands.	ɪtlʏr	Lýsingarorð	adj.	2K																					illur  --  ill -- illt	verri -- verri -- verra	verstur -- verst -- verst			illur.mp3	bad, evil	坏的，邪恶的	形容词
stilla	so	s	1068	1674	435392	Fólkið var að rífast og reyndu lögreglumenn að	stilla	til friðar.	Fólkið var að rífast og reyndu lögreglumenn að	stilla	til friðar.	stɪtla	Sagnorð	v.	2K	stilli	stillir	stillir	stillti	stilltir	stillti	stillt																			stilla.mp3	align; adjust	对齐；调整	动词
fyrirvari	kk	nk	1066	1675	113746	Þessir	fyrirvarar	ná hins vegar ekki til greiðslu vaxta.	Þessir	fyrirvarar	ná hins vegar ekki til greiðslu vaxta.	fɪːrɪrvarɪ	Nafnorð	m.	2K									fyrirvara	fyrirvara	fyrirvara	fyrirvarar	fyrirvara	fyrirvörum	fyrirvara											fyrirvari.mp3	disclaimer, notice	免责声明，通知	名词
kleifur	lo	l	1065	1676.5	409170	Þessi skráning gerir henni	kleift	að takmarka skattbyrði sína í Bretlandi.	Þessi skráning gerir henni	kleift	að takmarka skattbyrði sína í Bretlandi.	kʰleiːvʏr	Lýsingarorð	adj.	2K																					kleifur  --  kleif -- kleift	kleifari -- kleifari -- kleifara	kleifastur -- kleifust -- kleifast			kleifur.mp3	(usually used in the expression 'gera e-m kleift') make possible	（通常用于表达 'gera e-m kleift'）使成为可能	形容词
mótmæla	so	s	1065	1676.5	477455		Mótmælt	var við Seðlabankann í morgun fjórða daginn í röð.		Mótmælt	var við Seðlabankann í morgun fjórða daginn í röð.	moutmaila	Sagnorð	v.	2K	mótmæli	mótmælir	mótmælir	mótmælti	mótmæltir	mótmælti	mótmælt																			mótmæla.mp3	protest	反对，抗议	动词
hluthafi	kk	nk	1063	1678	106767	Stærstu	hluthafar	voru sammála um það.	Stærstu	hluthafar	voru sammála um það.	l̥ʏːtavɪ	Nafnorð	m.	2K									hluthafa	hluthafa	hluthafa	hluthafar	hluthafa	hluthöfum	hluthafa											hluthafi.mp3	shareholder	股东	名词
sorg	kvk	nv	1059	1679	10524	Hún segir bréfin hafa valdið sér reiði ,	sorg	og biturð.	Hún segir bréfin hafa valdið sér reiði ,	sorg	og biturð.	sɔrk	Nafnorð	f.	2K									sorg	sorg	sorgar	sorgir	sorgir	sorgum	sorga											sorg.mp3	sadness, sorrow	悲伤	名词
ákaflega	ao	a	1058	1680	495106	Og hún segir landsmótið ganga	ákaflega	vel.	Og hún segir landsmótið ganga	ákaflega	vel.	auːkʰavlɛɣa	Atviksorð	adv.	2K								ákaflega																		ákaflega.mp3	extremely	极其	副词
afgreiðsla	kvk	nv	1055	1681.5	156896	Tillagan hlaut ekki	afgreiðslu	á fundinum í gær.	Tillagan hlaut ekki	afgreiðslu	á fundinum í gær.	avkreiðstla	Nafnorð	f.	2K									afgreiðslu	afgreiðslu	afgreiðslu	afgreiðslur	afgreiðslur	afgreiðslum	afgreiðslna											afgreiðsla.mp3	reception; service	接待；服务	名词
tímabundinn	lo	l	1055	1681.5	172064	Þá hafa bæði flugmenn og flugfreyjur boðað	tímabundin	verkföll á næstunni.	Þá hafa bæði flugmenn og flugfreyjur boðað	tímabundin	verkföll á næstunni.	tʰiːmapʏntɪn	Lýsingarorð	adj.	2K																					tímabundinn  --  tímabundin -- tímabundið	tímabundnari -- tímabundnari -- tímabundnara	tímabundnastur -- tímabundnust -- tímabundnast			tímabundinn.mp3	temporary	暂时的	形容词
gríðarlegur	lo	l	1053	1683.5	390643	Verðmætin eru	gríðarleg	en erfitt að meta hversu mikil þau eru.	Verðmætin eru	gríðarleg	en erfitt að meta hversu mikil þau eru.	kriːðarlɛɣʏr	Lýsingarorð	adj.	2K																					gríðarlegur  --  gríðarleg -- gríðarlegt	gríðarlegri -- gríðarlegri -- gríðarlegra	gríðarlegastur -- gríðarlegust -- gríðarlegast			gríðarlegur.mp3	huge	巨大的	形容词
hegðun	kvk	nv	1053	1683.5	12618	Honum þætti	hegðun	sín mjög miður.	Honum þætti	hegðun	sín mjög miður.	hɛɣðʏn	Nafnorð	f.	2K									hegðun	hegðun	hegðunar															hegðun.mp3	behavior	行为	名词
eiginmaður	kk	nk	1052	1685	87780		Eiginmaðurinn	og barnið voru flutt með sjúkrabíl til Reykjavíkur.		Eiginmaðurinn	og barnið voru flutt með sjúkrabíl til Reykjavíkur.	eijɪnmaðʏr	Nafnorð	m.	2K									eiginmann	eiginmanni	eiginmanns	eiginmenn	eiginmenn	eiginmönnum	eiginmanna											eiginmaður.mp3	husband	丈夫	名词
fæðing	kvk	nv	1050	1688	11485	Flestar urðu	fæðingar	í ágústmánuði en fæstar í febrúar.	Flestar urðu	fæðingar	í ágústmánuði en fæstar í febrúar.	faiːðiŋk	Nafnorð	f.	2K									fæðingu	fæðingu	fæðingar	fæðingar	fæðingar	fæðingum	fæðinga											fæðing.mp3	birth	出生	名词
framhaldsskóli	kk	nk	1050	1688	111647	Einkum sé átt við nemendur í	framhaldsskóla	.	Einkum sé átt við nemendur í	framhaldsskóla	.	framhaltskoulɪ	Nafnorð	m.	2K									framhaldsskóla	framhaldsskóla	framhaldsskóla	framhaldsskólar	framhaldsskóla	framhaldsskólum	framhaldsskóla											framhaldsskóli.mp3	high school	中学	名词
mund	kvk	nv	1050	1688	10428	Um þessar	mundir	eru 540 menn þar í haldi.	Um þessar	mundir	eru 540 menn þar í haldi.	mʏnt	Nafnorð	f.	2K									mund	mund	mundar	mundir	mundir	mundum	munda											mund.mp3	time, moment	时间，瞬间	名词
skógur	kk	nk	1050	1688	5644	Og svo eru auðvitað gönguleiðir um	skóginn	.	Og svo eru auðvitað gönguleiðir um	skóginn	.	skouːɣʏr	Nafnorð	m.	2K									skóg	skógi	skógar	skógar	skóga	skógum	skóga											skógur.mp3	forest	森林	名词
sóknaraðili	kk	nk	1050	1688	114456	Það sé frestur	sóknaraðila	til að áfrýja málinu til Hæstaréttar.	Það sé frestur	sóknaraðila	til að áfrýja málinu til Hæstaréttar.	souhknaraðɪlɪ	Nafnorð	m.	2K									sóknaraðila	sóknaraðila	sóknaraðila	sóknaraðilar	sóknaraðila	sóknaraðilum	sóknaraðila											sóknaraðili.mp3	plaintiff	原告	名词
æskilegur	lo	l	1049	1691	392319	Það er langeðlilegasta og	æskilegasta	niðurstaðan.	Það er langeðlilegasta og	æskilegasta	niðurstaðan.	aiscɪlɛɣʏr	Lýsingarorð	adj.	2K																					æskilegur  --  æskileg -- æskilegt	æskilegri -- æskilegri -- æskilegra	æskilegastur -- æskilegust -- æskilegast			æskilegur.mp3	desirable	可取的	形容词
skorta	so	s	1048	1692	427625	Ástæðan er sú að okkur	skortir	traust.	Ástæðan er sú að okkur	skortir	traust.	skɔr̥ta	Sagnorð	v.	2K							skort																			skorta.mp3	lack	缺少	动词
virði	hk	nh	1047	1693	4029	Sá hlutur er einskis	virði	í dag.	Sá hlutur er einskis	virði	í dag.	vɪrðɪ	Nafnorð	n.	2K									virði	virði	virðis	virði	virði	virðum	virða											virði.mp3	worth	值得	名词
endurtaka	so	s	1045	1694.5	434205	Síðan verða álíka aðgerðir	endurteknar	og loks boðað til ótímabundins verkfalls.	Síðan verða álíka aðgerðir	endurteknar	og loks boðað til ótímabundins verkfalls.	ɛntʏr̥tʰaka	Sagnorð	v.	2K	endurtek	endurtekur	endurtekur	endurtók	endurtókst	endurtók	endurtekið																			endurtaka.mp3	repeat	重复	动词
sókn	kvk	nv	1045	1694.5	10571	Enn virðist	sókn	í leiguhúsnæði vera talsverð.	Enn virðist	sókn	í leiguhúsnæði vera talsverð.	souhkn̥	Nafnorð	f.	2K									sókn	sókn	sóknar	sóknir	sóknir	sóknum	sókna											sókn.mp3	offence (in sports); advance, expansion	（在运动比赛中）进攻；前进，扩张	名词
málskostnaður	kk	nk	1044	1696	86262	Hann þarf ennfremur að greiða allan	málskostnað	.	Hann þarf ennfremur að greiða allan	málskostnað	.	maulskʰɔstnaðʏr	Nafnorð	m.	2K									málskostnað	málskostnaði	málskostnaðar															málskostnaður.mp3	legal costs	法律费用	名词
frumkvæði	hk	nh	1043	1697	428217	Fundurinn var haldinn af	frumkvæði	áhugahóps um verndun jökulsánna í Skagafirði.	Fundurinn var haldinn af	frumkvæði	áhugahóps um verndun jökulsánna í Skagafirði.	frʏmkʰvaiðɪ	Nafnorð	n.	2K									frumkvæði	frumkvæði	frumkvæðis															frumkvæði.mp3	initiative	倡议，自发性，主动性	名词
fasteign	kvk	nv	1042	1698.5	125286		Fasteignin	er metin á um 610 milljónir í dag.		Fasteignin	er metin á um 610 milljónir í dag.	fasteikn̥	Nafnorð	f.	2K									fasteign	fasteign	fasteignar	fasteignir	fasteignir	fasteignum	fasteigna											fasteign.mp3	real estate	房地产	名词
ritgerð	kvk	nv	1042	1698.5	126622	Í	ritgerðinni	er fjallað um ímynd fyrirtækja í átta geirum atvinnulífsins.	Í	ritgerðinni	er fjallað um ímynd fyrirtækja í átta geirum atvinnulífsins.	rɪːtcɛrð	Nafnorð	f.	2K									ritgerð	ritgerð	ritgerðar	ritgerðir	ritgerðir	ritgerðum	ritgerða											ritgerð.mp3	essay	文章，短文	名词
líkja	so	s	1041	1700	435035	Hún segir þetta tískufyrirbæri sem	líkja	að megi við faraldur.	Hún segir þetta tískufyrirbæri sem	líkja	að megi við faraldur.	liːca	Sagnorð	v.	2K	líki	líkir	líkir	líkti	líktir	líkti	líkt																			líkja.mp3	simulate; compare	模拟；比较	动词
kaupandi	kk	nk	1040	1702	9894		Kaupandanum	tókst að stöðva þetta.		Kaupandanum	tókst að stöðva þetta.	kʰœiːpantɪ	Nafnorð	m.	2K									kaupanda	kaupanda	kaupanda	kaupendur	kaupendur	kaupendum	kaupenda											kaupandi.mp3	buyer	买方	名词
myrkur	hk	nh	1040	1702	2505	Hún sá hins vegar ekkert í	myrkrinu	.	Hún sá hins vegar ekkert í	myrkrinu	.	mɪr̥kʏr	Nafnorð	n.	2K									myrkur	myrkri	myrkurs	myrkur	myrkur	myrkrum	myrkra											myrkur.mp3	darkness	黑暗	名词
venja	kvk	nv	1040	1702	14779	Að	venju	hafa margir nýtt sér það.	Að	venju	hafa margir nýtt sér það.	vɛnja	Nafnorð	f.	2K									venju	venju	venju	venjur	venjur	venjum	venja											venja.mp3	habit	习惯，习俗	名词
framfæri	hk	nh	1038	1704	30243	Við viljum gjarnan koma henni á	framfæri	við aðrar þjóðir.	Við viljum gjarnan koma henni á	framfæri	við aðrar þjóðir.	framfairɪ	Nafnorð	n.	2K									framfæri	framfæri	framfæris															framfæri.mp3	(usually used in multiword expression, e.g. 'koma á framfæri') make known	（通常用于多词表达，例如 'koma á framfæri'）使人知晓，让人知道	名词
gærkvöld	hk	nh	1036	1706	42375	Hann lýsti þessu yfir á borgarafundi í Háskólabíói í	gærkvöldi	.	Hann lýsti þessu yfir á borgarafundi í Háskólabíói í	gærkvöldi	.	cair̥kʰvœlt	Nafnorð	n.	2K									gærkvöld	gærkvöldi	gærkvölds															gærkvöld.mp3	last night	昨晚	名词
stjórnmálamaður	kk	nk	1036	1706	88832	Aðrir	stjórnmálamenn	hafa einnig tjáð sig.	Aðrir	stjórnmálamenn	hafa einnig tjáð sig.	stjourtnmaulamaðʏr	Nafnorð	m.	2K									stjórnmálamann	stjórnmálamanni	stjórnmálamanns	stjórnmálamenn	stjórnmálamenn	stjórnmálamönnum	stjórnmálamanna											stjórnmálamaður.mp3	politician	政治家	名词
vísindi	hk	nh	1036	1706	4054	Nútímahagkerfi byggja á menntun ,	vísindum	og rannsóknum í sívaxandi mæli.	Nútímahagkerfi byggja á menntun ,	vísindum	og rannsóknum í sívaxandi mæli.	viːsɪntɪ	Nafnorð	n.	2K												vísindi	vísindi	vísindum	vísinda											vísindi.mp3	science	科学	名词
algjör	lo	l	1035	1709.5	449444	Þessi aðferð þykir því	algjört	þrautaúrræði.	Þessi aðferð þykir því	algjört	þrautaúrræði.	alcœr	Lýsingarorð	adj.	2K																					algjör  --  algjör -- algjört					algjör.mp3	absolute	绝对	形容词
ánægja	kvk	nv	1035	1709.5	146993	Mikil	ánægja	er með þessa frétt.	Mikil	ánægja	er með þessa frétt.	auːnaija	Nafnorð	f.	2K									ánægju	ánægju	ánægju															ánægja.mp3	pleasure	乐趣，欣慰，满意	名词
flokka	so	s	1035	1709.5	420116	Lögreglan	flokkar	póstana eftir eðli þeirra.	Lögreglan	flokkar	póstana eftir eðli þeirra.	flɔhka	Sagnorð	v.	2K	flokka	flokkar	flokkar	flokkaði	flokkaðir	flokkaði	flokkað																			flokka.mp3	sort, arrange	整理分类，排列	动词
vænn	lo	l	1035	1709.5	165624	Hann fékk	væna	sneið af geit í jólamatinn.	Hann fékk	væna	sneið af geit í jólamatinn.	vaitn̥	Lýsingarorð	adj.	2K																					vænn  --  væn -- vænt	vænni -- vænni -- vænna	vænstur -- vænst -- vænst			vænn.mp3	kind	友好的，体贴的	形容词
auðvelda	so	s	1033	1713	419421	Nýjar reglur eiga að	auðvelda	lántöku og einfalda lánaferlið.	Nýjar reglur eiga að	auðvelda	lántöku og einfalda lánaferlið.	œiðvɛlta	Sagnorð	v.	2K	auðvelda	auðveldar	auðveldar	auðveldaði	auðveldaðir	auðveldaði	auðveldað																			auðvelda.mp3	make easier	使更容易，方便	动词
mannlegur	lo	l	1033	1713	391173		Mannleg	mistök eru talin hafa valdið strandinu.		Mannleg	mistök eru talin hafa valdið strandinu.	manlɛɣʏr	Lýsingarorð	adj.	2K																					mannlegur  --  mannleg -- mannlegt	mannlegri -- mannlegri -- mannlegra	mannlegastur -- mannlegust -- mannlegast			mannlegur.mp3	human	人本性的，显示人类特征的	形容词
skynja	so	s	1033	1713	423059	Fólk	skynjar	mikið óréttlæti.	Fólk	skynjar	mikið óréttlæti.	scɪnja	Sagnorð	v.	2K	skynja	skynjar	skynjar	skynjaði	skynjaðir	skynjaði	skynjað																			skynja.mp3	perceive	感知	动词
vit	hk	nh	1032	1715	469220	Það er algjör frumforsenda að okkar	viti	.	Það er algjör frumforsenda að okkar	viti	.	vɪːt	Nafnorð	n.	2K									vit	viti	vits															vit.mp3	knowledge	知识，认知	名词
austan	fs	a	1030	1717.5	495271	Sérstaklega er vegurinn	austan	Selfoss lélegur.	Sérstaklega er vegurinn	austan	Selfoss lélegur.	œistan	Forsetning	prep.	2K								austan																		austan.mp3	from the east	从东方	介词
endurskoða	so	s	1030	1717.5	419954	Hann vonast til að Persónuvernd	endurskoði	afstöðu sína.	Hann vonast til að Persónuvernd	endurskoði	afstöðu sína.	ɛntʏr̥skɔða	Sagnorð	v.	2K	endurskoða	endurskoðar	endurskoðar	endurskoðaði	endurskoðaðir	endurskoðaði	endurskoðað																			endurskoða.mp3	review	审查，检查	动词
evra	kvk	nv	1030	1717.5	393369	Heildarupphæðin nemur 320 milljónum	evra	eða um 57 milljörðum króna.	Heildarupphæðin nemur 320 milljónum	evra	eða um 57 milljörðum króna.	ɛvra	Nafnorð	f.	2K									evru	evru	evru	evrur	evrur	evrum	evra											evra.mp3	euro	欧元	名词
ágreiningur	kk	nk	1029	1721.5	97793	Enginn	ágreiningur	hafi verið um málefni.	Enginn	ágreiningur	hafi verið um málefni.	auːkreiniŋkʏr	Nafnorð	m.	2K									ágreining	ágreiningi	ágreinings															ágreiningur.mp3	disagreement	分歧	名词
hermaður	kk	nk	1029	1721.5	88092	Tíu þúsund	hermenn	taka þátt í aðgerðinni sem kallast örvaroddur.	Tíu þúsund	hermenn	taka þátt í aðgerðinni sem kallast örvaroddur.	hɛrmaðʏr	Nafnorð	m.	2K									hermann	hermanni	hermanns	hermenn	hermenn	hermönnum	hermanna											hermaður.mp3	soldier	士兵，军人	名词
löggjöf	kvk	nv	1029	1721.5	396754	Starfshópurinn kannaði mismunandi	löggjöf	um vændi á Norðurlöndum og víðar.	Starfshópurinn kannaði mismunandi	löggjöf	um vændi á Norðurlöndum og víðar.	lœɣcœv	Nafnorð	f.	2K									löggjöf	löggjöf	löggjafar															löggjöf.mp3	legislation	立法	名词
umsögn	kvk	nv	1029	1721.5	124597	Alls bárust 20 formlegar	umsagnir	til ráðuneytisins.	Alls bárust 20 formlegar	umsagnir	til ráðuneytisins.	ʏmsœkn̥	Nafnorð	f.	2K									umsögn	umsögn	umsagnar	umsagnir	umsagnir	umsögnum	umsagna											umsögn.mp3	review; comment, statement	审查；评论，声明	名词
framkvæmdastjórn	kvk	nv	1028	1724	120259	Þetta var gert án samþykkis	framkvæmdastjórnar	flokksins.	Þetta var gert án samþykkis	framkvæmdastjórnar	flokksins.	framkʰvaimtastjourtn̥	Nafnorð	f.	2K									framkvæmdastjórn	framkvæmdastjórn	framkvæmdastjórnar	framkvæmdastjórnir	framkvæmdastjórnir	framkvæmdastjórnum	framkvæmdastjórna											framkvæmdastjórn.mp3	executive board	执行董事会	名词
eftirspurn	kvk	nv	1027	1726	125693	Þetta á að auka	eftirspurn	í hagkerfinu.	Þetta á að auka	eftirspurn	í hagkerfinu.	ɛftɪr̥spʏrtn̥	Nafnorð	f.	2K									eftirspurn	eftirspurn	eftirspurnar															eftirspurn.mp3	demand	需求	名词
sögulegur	lo	l	1027	1726	392019	Þessum	sögulega	atburði verður minnst á marga vegu í dag.	Þessum	sögulega	atburði verður minnst á marga vegu í dag.	sœːɣʏlɛɣʏr	Lýsingarorð	adj.	2K																					sögulegur  --  söguleg -- sögulegt	sögulegri -- sögulegri -- sögulegra	sögulegastur -- sögulegust -- sögulegast			sögulegur.mp3	historical	历史的	形容词
útbreiðsla	kvk	nv	1027	1726	148669	Þeir náðu að slökkva eldinn áður en hann næði frekari	útbreiðslu	.	Þeir náðu að slökkva eldinn áður en hann næði frekari	útbreiðslu	.	uːtpreiðstla	Nafnorð	f.	2K									útbreiðslu	útbreiðslu	útbreiðslu															útbreiðsla.mp3	distribution, spreading	分布，传播	名词
brauð	hk	nh	1026	1728	634		Brauð	og mjólk voru til dæmis uppseld í verslunum þar.		Brauð	og mjólk voru til dæmis uppseld í verslunum þar.	prœiːð	Nafnorð	n.	2K									brauð	brauði	brauðs	brauð	brauð	brauðum	brauða											brauð.mp3	bread	面包	名词
danska	kvk	nv	1025	1729	15499	Gjöfin var 700 eintök Íslendingasagna á	dönsku	.	Gjöfin var 700 eintök Íslendingasagna á	dönsku	.	tanska	Nafnorð	f.	2K									dönsku	dönsku	dönsku															danska.mp3	Danish	丹麦语	名词
hagvöxtur	kk	nk	1024	1730.5	85512	Þetta er töluvert meiri	hagvöxtur	en mælst hefur á síðustu árum.	Þetta er töluvert meiri	hagvöxtur	en mælst hefur á síðustu árum.	haɣvœkstʏr	Nafnorð	m.	2K									hagvöxt	hagvexti	hagvaxtar															hagvöxtur.mp3	economic growth	经济增长	名词
herra	kk	nk	1024	1730.5	6901	Þakka þér fyrir ,	herra	forseti.	Þakka þér fyrir ,	herra	forseti.	hɛra	Nafnorð	m.	2K									herra	herra	herra	herrar	herra	herrum	herra											herra.mp3	sir, mister; lord	先生，阁下	名词
málaflokkur	kk	nk	1023	1732	97333	Hann skynjar uppgjöf í	málaflokknum	á landsvísu.	Hann skynjar uppgjöf í	málaflokknum	á landsvísu.	mauːlaflɔhkʏr	Nafnorð	m.	2K									málaflokk	málaflokki	málaflokks	málaflokkar	málaflokka	málaflokkum	málaflokka											málaflokkur.mp3	set of issues, field	（问题）领域，范畴	名词
siður	kk	nk	1021	1733	5741	Oslóartréð verður tendrað af árlegum	sið	á Austurvelli í dag.	Oslóartréð verður tendrað af árlegum	sið	á Austurvelli í dag.	sɪːðʏr	Nafnorð	m.	2K									sið	sið	siðar	siðir	siði	siðum	siða											siður.mp3	custom	风俗	名词
klára	so	s	1020	1734	421360	Menn verða bara að fara setjast niður og	klára	þetta.	Menn verða bara að fara setjast niður og	klára	þetta.	kʰlauːra	Sagnorð	v.	2K	klára	klárar	klárar	kláraði	kláraðir	kláraði	klárað																			klára.mp3	finish	完成，结束	动词
elda	so	s	1019	1736	428154	Ungur kokkur bauðst til að	elda	fyrir konurnar sem dvöldu þar.	Ungur kokkur bauðst til að	elda	fyrir konurnar sem dvöldu þar.	ɛlta	Sagnorð	v.	2K	elda	eldar	eldar	eldaði	eldaðir	eldaði	eldað																			elda.mp3	cook	烹饪，做饭	动词
umhverfis	fs	a	1019	1736	495336	Bíllinn er töluvert skemmdur og einnig grindverk	umhverfis	garðinn.	Bíllinn er töluvert skemmdur og einnig grindverk	umhverfis	garðinn.	ʏmkʰvɛrvɪs	Forsetning	prep.	2K								umhverfis																		umhverfis.mp3	around, surrounding	周围	介词
sólarhringur	kk	nk	1018	1738	90898	Eldarnir hafa breiðst hratt út á síðasta	sólarhring	.	Eldarnir hafa breiðst hratt út á síðasta	sólarhring	.	souːlar̥iŋkʏr	Nafnorð	m.	2K									sólarhring	sólarhring	sólarhrings	sólarhringar	sólarhringa	sólarhringum	sólarhringa											sólarhringur.mp3	24 hours	一整日，24小时	名词
leikari	kk	nk	1017	1739	8111	Hann býst ekki við að myndin muni skarta íslenskum	leikurum	.	Hann býst ekki við að myndin muni skarta íslenskum	leikurum	.	leiːkarɪ	Nafnorð	m.	2K									leikara	leikara	leikara	leikarar	leikara	leikurum	leikara											leikari.mp3	actor	演员	名词
aðstoða	so	s	1014	1740	424403	Björgunarsveitir og lögreglumenn hafa þurft að	aðstoða	ökumenn í vandræðum.	Björgunarsveitir og lögreglumenn hafa þurft að	aðstoða	ökumenn í vandræðum.	aðstɔða	Sagnorð	v.	2K	aðstoða	aðstoðar	aðstoðar	aðstoðaði	aðstoðaðir	aðstoðaði	aðstoðað																			aðstoða.mp3	assist	帮助，协助	动词
tugur	kk	nk	1013	1741	5649	Þessar upphæðir nemi	tugum	milljóna króna.	Þessar upphæðir nemi	tugum	milljóna króna.	tʰʏːɣʏr	Nafnorð	m.	2K									tug	tug	tugar	tugir	tugi	tugum	tuga											tugur.mp3	dozen	十个	名词
duglegur	lo	l	1012	1742	390298	Íslendingar eru mjög	duglegir	að kaupa íslenskt í dag.	Íslendingar eru mjög	duglegir	að kaupa íslenskt í dag.	tʏɣlɛɣʏr	Lýsingarorð	adj.	2K																					duglegur  --  dugleg -- duglegt	duglegri -- duglegri -- duglegra	duglegastur -- duglegust -- duglegast			duglegur.mp3	efficient, hard-working	勤快，勤奋	形容词
nýlegur	lo	l	1009	1743	391320	Bústaðurinn sem er	nýlegur	er stórskemmdur ef ekki ónýtur.	Bústaðurinn sem er	nýlegur	er stórskemmdur ef ekki ónýtur.	niːlɛɣʏr	Lýsingarorð	adj.	2K																					nýlegur  --  nýleg -- nýlegt	nýlegri -- nýlegri -- nýlegra	nýlegastur -- nýlegust -- nýlegast			nýlegur.mp3	recent	最近的	形容词
rosalega	ao	a	1008	1744	497648	Og það er	rosalega	erfitt að útskýra það með orðum.	Og það er	rosalega	erfitt að útskýra það með orðum.	rɔːsalɛɣa	Atviksorð	adv.	2K																								rosalegar	rosalegast	rosalega.mp3	very	非常	副词
kristinn	lo	l	1007	1745	165138	Ég er	kristinn	, við erum sköpuð í mynd guðs.	Ég er	kristinn	, við erum sköpuð í mynd guðs.	kʰrɪstɪn	Lýsingarorð	adj.	2K																					kristinn  --  kristin -- kristið					kristinn.mp3	Christian	基督教的	形容词
bílskúr	kk	nk	1006	1746	78956	Eldur kviknaði í	bílskúr	við Viðarás í Reykjavík undir morgun.	Eldur kviknaði í	bílskúr	við Viðarás í Reykjavík undir morgun.	pilskur	Nafnorð	m.	2K									bílskúr	bílskúr	bílskúrs	bílskúrar	bílskúra	bílskúrum	bílskúra											bílskúr.mp3	garage	车库	名词
greinargerð	kvk	nv	1005	1747.5	126520	Samkvæmt	greinargerð	hópsins lagði hann síðan fram tvær tillögur.	Samkvæmt	greinargerð	hópsins lagði hann síðan fram tvær tillögur.	kreiːnarcɛrð	Nafnorð	f.	2K									greinargerð	greinargerð	greinargerðar	greinargerðir	greinargerðir	greinargerðum	greinargerða											greinargerð.mp3	report, account	报告，描述	名词
ítarlegur	lo	l	1005	1747.5	390843	Hann hefur fyrirskipað að fram fari	ítarleg	rannsókn á atvikinu.	Hann hefur fyrirskipað að fram fari	ítarleg	rannsókn á atvikinu.	iːtarlɛɣʏr	Lýsingarorð	adj.	2K																					ítarlegur  --  ítarleg -- ítarlegt	ítarlegri -- ítarlegri -- ítarlegra	ítarlegastur -- ítarlegust -- ítarlegast			ítarlegur.mp3	thorough	彻底的，详细的	形容词
foreldri	hk	nh	1004	1749	1128	Þá fær hitt	foreldrið	aðeins 6 mánuði í fæðingarorlof.	Þá fær hitt	foreldrið	aðeins 6 mánuði í fæðingarorlof.	fɔːrɛltrɪ	Nafnorð	n.	2K									foreldri	foreldri	foreldris															foreldri.mp3	parent	父母	名词
